GenCo_Name,"Zone 
Location","Capacity 
(MW)",Minimum generation (MW),Fuel Type,"MinUp
Time (hr)","MinDown 
Time (hr)","Ramp Rate
(MW/hr)","StartUp 
Cost ($)","NoLoad
Cost ($)","Dispatch Cost Linear
Coefficient a 
($/MWh)","Dispatch Cost Quadratic
Coefficient b 
($/MW^2h)"
Generator_1,NH,1244,995.2,NUC ,24,49,120,950000,1000,10,0.0002
Generator_2,CT,1235,988, NUC ,24,48,120,850000,1250,10,0.00023
Generator_3,CT,881,704.8, NUC ,24,48,120,900000,1500,5,0.00015
Generator_4,SEMASS,684.7,547.76, NUC ,24,48,120,875000,1250,7,0.00021
Generator_5,VT,620.2,496.16, NUC ,24,47,120,925000,1500,11,0.00022
Generator_6,RI,612,244.8, BIT ,24,60,120,20915.15,3042.4,18.28,0.00012
Generator_7,CT,372.2,148.88, SUB ,24,24,120,17336.83,1540,19.98,0.00167
Generator_8,CT,372.2,148.88, SUB ,24,24,120,17500,1535,19.98,0.00167
Generator_9,RI,244,97.6, BIT ,8,16,120,16860.36,1212.98,18.1,0.00012
Generator_10,RI,243.5,97.4, BIT ,8,16,120,13947.52,1210.5,18.2,0.00012
Generator_11,ME,149.8,59.92, BIT ,16,13,120,13872.67,744.69,18.4,0.00012
Generator_12,WCMASS,144.4,57.76, BIT ,8,9,120,13727.67,717.85,18.3,0.00012
Generator_13,ME,82,32.8, BIT ,16,12,120,3486.01,407.64,18.4,0.00012
Generator_14,ME,80,32, BIT ,16,12,120,2441.71,397.7,18.3,0.00012
Generator_15,NH,47.9,19.16, BIT ,8,8,120,5774.179,238.12,19.98,0.00167
Generator_16,NH,47.5,19, BIT ,8,8,120,5774.179,236.13,19.98,0.00167
Generator_17,ME,600.4,210.14, RFO ,10,8,120,115287,10379,160.55,0.02367
Generator_18,SEMASS,558.7,195.545, RFO ,24,32,120,272400.8,10707,153.16,0.0346
Generator_19,SEMASS,553,193.55, RFO ,24,32,120,191144.1,12828,192.06,0.03463
Generator_20,CT,447.9,156.765, RFO ,14,8,120,100000,7000,160,0.0236
Generator_21,RI,435,152.25, RFO ,12,9,120,120000,10000,192,0.0345
Generator_22,ME,431,150.85, RFO ,16,12,120,85000,8260,233,0.0312
Generator_23,CT,407.4,142.59, RFO ,16,15,120,86332.49,7367,233.42,0.00598
Generator_24,NH,400.2,140.07, RFO ,6,5,120,32566.38,3175,54.57,0.0014
Generator_25,CT,400,140, RFO ,16,11,120,62461.34,11358,200.14,0.02184
Generator_26,CT,236,82.6, RFO ,16,40,120,120000,5000,192.06,0.03463
Generator_27,CT,168,58.8, RFO ,17,10,120,45000,4000,151.16,0.0347
Generator_28,CT,130.5,45.675, RFO ,12,8,120,45000,3500,152.16,0.0345
Generator_29,CT,117,40.95, RFO ,16,11,120,80000,2800,192.06,0.03463
Generator_30,ME,115.5,40.425, RFO ,8,8,120,45000,3000,154.16,0.0346
Generator_31,CT,81,28.35, RFO ,16,12,120,12000,2100,54,0.002
Generator_32,ME,693.8,138.76, NGLN ,12,12,400,66889.42,3858.73,23.13,0.00294
Generator_33,ME,685.3,137.06, NGLN ,12,12,400,66889.42,3858.73,25.14,0.00292
Generator_34,SEMASS,675.5,135.1, NGA4 ,12,12,400,76560.21,610.84,57,0.00292
Generator_35,ME,554.8,110.96, NGA1 ,24,24,400,25000,612.84,90,0.00292
Generator_36,RI,515.5,103.1, NGTN ,8,6,400,325.75,0,27.72,0.00292
Generator_37,NH,508,101.6, NGMN ,12,6,400,1000,0,23.13,0.00292
Generator_38,ME,490.4,98.08, NGMN ,14,6,400,1000,0,23,0.00292
Generator_39,CT,447.9,89.58, NGIR ,8,6,400,2500,0,50,0.00292
Generator_40,RI,270.9,54.18, NGTN ,6,4,400,2352,0,27.72,0.0229
Generator_41,RI,264.9,52.98, NGA4 ,8,6,400,12000,500,57,0.003
Generator_42,RI,248.7,49.74, NGA4 ,8,5,400,11112.19,699.7,22.23,2.00E-05
Generator_43,RI,247.8,49.56, NGA4 ,8,5,400,11112.19,699.7,22.28,2.00E-05
Generator_44,RI,247.8,49.56, NGA4 ,8,5,400,11112.19,699.7,22.18,2.00E-05
Generator_45,ME,244.9,48.98, NGPN ,12,12,400,62500,0,52,0.003
Generator_46,SEMASS,244.8,48.96, NGA4 ,12,8,400,12000,475,58,0.004
Generator_47,RI,238.6,47.72, NGA4 ,8,6,400,12000,485,57.5,0.0035
Generator_48,WCMASS,238.3,47.66, NGT2 ,6,6,400,7500,250,25,0.00375
Generator_49,RI,236.4,47.28, NGA4 ,8,6,400,12000,495,56.5,0.00372
Generator_50,ME,153.5,30.7, NGA1 ,17,12,400,5000,250,90,0.0041
Generator_51,RI,149,29.8, NGT4 ,8,6,400,7250,250,56.5,0.008
Generator_52,RI,149,29.8, NGA4 ,4,6,400,4000,350,56.75,0.013
Generator_53,RI,149,29.8, NGA4 ,4,6,400,3500,325,57,0.0175
Generator_54,RI,149,29.8, NGA4 ,4,6,400,4000,375,57.25,0.022
Generator_55,SEMASS,141.1,28.22, NGA4 ,6,5,400,5000,320,57.25,0.015
Generator_56,WCMASS,141,28.2, NGT1 ,3,1,400,7250,200,95,0.0035
Generator_57,SEMASS,104.9,20.98, NGA4 ,8,8,400,2500,300,57.5,0.005
Generator_58,WCMASS,104,20.8, NGT2 ,6,6,400,7750,250,100,0.0075
Generator_59,CT,43.9,8.78, NGA4 ,1,1,400,325.75,612.84,57.03,0.02133
Generator_60,CT,43.5,8.7, NGA4 ,1,1,400,325.75,612.84,57.03,0.02133
Generator_61,CT,43.5,8.7, NGA4 ,1,1,400,325.75,612.84,57.03,0.02133
