Day,Hours,WindCF,Demand
1,1,0.568525057,11452
1,2,0.530669792,11009
1,3,0.545980861,10826
1,4,0.423303826,10818
1,5,0.696596544,11118
1,6,0.543054808,12242
1,7,0.565540833,14288
1,8,0.711595308,15793
1,9,0.478114986,16297
1,10,0.344299262,16485
1,11,0.50242666,16606
1,12,0.453696417,16620
1,13,0.506941192,16514
1,14,0.565842363,16486
1,15,0.526824156,16425
1,16,0.674926931,16478
1,17,0.782161849,16835
1,18,0.759813913,17286
1,19,0.879535384,17765
1,20,0.847213469,17584
1,21,0.223162071,16834
1,22,0.326979098,15617
1,23,0.430668631,14016
1,24,0.543149749,12602
2,1,0.583888183,11684
2,2,0.461384257,11214
2,3,0.554731911,11000
2,4,0.486290397,10941
2,5,0.419296919,11239
2,6,0.574779635,12337
2,7,0.512837642,14342
2,8,0.389941847,15914
2,9,0.399686362,16413
2,10,0.324584329,16585
2,11,0.245196767,16691
2,12,0.243617688,16651
2,13,0.287366228,16479
2,14,0.365575335,16367
2,15,0.417657215,16173
2,16,0.4494103,16094
2,17,0.459365483,16225
2,18,0.507325321,16513
2,19,0.525367437,17002
2,20,0.494995753,16724
2,21,0.404612946,16081
2,22,0.422859979,15177
2,23,0.385484979,13873
2,24,0.388778531,12600
3,1,0.418971962,11689
3,2,0.416253383,11151
3,3,0.259392536,10854
3,4,0.2015169,10728
3,5,0.234846823,10805
3,6,0.290949612,11150
3,7,0.26236743,11859
3,8,0.229313554,13069
3,9,0.269118647,14238
3,10,0.238408089,15002
3,11,0.230547963,15236
3,12,0.218423936,15213
3,13,0.177327246,14950
3,14,0.121336085,14626
3,15,0.097170502,14351
3,16,0.083898659,14234
3,17,0.108932352,14482
3,18,0.199124151,14984
3,19,0.435173672,15631
3,20,0.59736417,15494
3,21,0.680447087,14969
3,22,0.734248849,14198
3,23,0.755940354,13179
3,24,0.588249552,12119
4,1,0.424721649,11197
4,2,0.354273372,10269
4,3,0.276570663,10611
4,4,0.208360151,10326
4,5,0.228862499,10262
4,6,0.261572188,10381
4,7,0.275555798,10677
4,8,0.256738221,11174
4,9,0.266035452,12059
4,10,0.16680244,12955
4,11,0.152140379,13594
4,12,0.155072864,13962
4,13,0.173858596,14101
4,14,0.207514529,14044
4,15,0.223396802,13897
4,16,0.151045771,13818
4,17,0.128539104,14044
4,18,0.26572221,14535
4,19,0.353317283,14997
4,20,0.409662897,15634
4,21,0.41739404,15558
4,22,0.348896087,14650
4,23,0.329160618,13470
4,24,0.362295285,12278
5,1,0.334908747,11684
5,2,0.336722929,11214
5,3,0.261637378,11000
5,4,0.166811183,10941
5,5,0.184373998,11239
5,6,0.217384738,12337
5,7,0.228737291,14342
5,8,0.217839744,15914
5,9,0.162404294,16413
5,10,0.132314507,16585
5,11,0.121197619,16691
5,12,0.114744758,16651
5,13,0.109365135,16479
5,14,0.104319123,16367
5,15,0.113504932,16173
5,16,0.110295576,16094
5,17,0.149502569,16225
5,18,0.250496356,16513
5,19,0.22032327,17002
5,20,0.142799838,16724
5,21,0.077953146,16081
5,22,0.065014551,15177
5,23,0.046035399,13873
5,24,0.046230689,12600
6,1,0.045398041,11689
6,2,0.053037307,11151
6,3,0.014714566,10854
6,4,0,10728
6,5,0,10805
6,6,0,11150
6,7,0,11859
6,8,0,13069
6,9,0,14238
6,10,0,15002
6,11,0,15236
6,12,0,15213
6,13,0,14950
6,14,0,14626
6,15,0,14351
6,16,0,14234
6,17,0.012720738,14482
6,18,0.04435411,14984
6,19,0.112330227,15631
6,20,0.148729245,15494
6,21,0.140673096,14969
6,22,0.146285384,14198
6,23,0.131805441,13179
6,24,0.125430124,12119
7,1,0.091414697,11197
7,2,0.097993913,10103
7,3,0.113161751,10611
7,4,0.135686287,10326
7,5,0.077516322,10262
7,6,0.166156594,10381
7,7,0.199590235,10677
7,8,0.20990203,11174
7,9,0.171288597,12059
7,10,0.113331915,12955
7,11,0.075798313,13594
7,12,0.033393376,13962
7,13,0,14101
7,14,0,14044
7,15,0,13897
7,16,0,13818
7,17,0,14044
7,18,0,14535
7,19,0,14997
7,20,0,15634
7,21,0,15558
7,22,0,14650
7,23,0,13470
7,24,0,12278
